,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,29,2.17%,351,2.64%,3141,2.35%,31814,2.37%
Mediterranean Avenue,30,2.25%,238,1.79%,2600,1.94%,26026,1.94%
Community Chest,26,1.95%,254,1.91%,2560,1.91%,25232,1.88%
Baltic Avenue,17,1.27%,253,1.90%,2577,1.93%,25930,1.93%
Income Tax,35,2.62%,286,2.15%,2924,2.18%,28648,2.14%
Reading Railroad,35,2.62%,410,3.08%,3610,2.70%,36632,2.73%
Oriental Avenue,24,1.80%,255,1.91%,2847,2.13%,27962,2.08%
Chance,26,1.95%,281,2.11%,2783,2.08%,28152,2.10%
Vermont Avenue,32,2.40%,287,2.15%,2798,2.09%,27920,2.08%
Connecticut Avenue,26,1.95%,283,2.12%,2679,2.00%,27288,2.03%
Jail,85,6.36%,754,5.66%,7961,5.95%,79749,5.95%
St. Charles Place,28,2.10%,307,2.30%,3253,2.43%,32196,2.40%
Electric Company,31,2.32%,324,2.43%,3105,2.32%,31208,2.33%
States Avenue,22,1.65%,303,2.27%,2977,2.22%,29597,2.21%
Virginia Avenue,34,2.54%,322,2.42%,3247,2.43%,32216,2.40%
Pennsylvania Railroad,43,3.22%,383,2.88%,3719,2.78%,38524,2.87%
St. James Place,38,2.84%,377,2.83%,3871,2.89%,38128,2.84%
Community Chest,35,2.62%,366,2.75%,3650,2.73%,37328,2.78%
Tennessee Avenue,42,3.14%,391,2.94%,3671,2.74%,37182,2.77%
New York Avenue,32,2.40%,345,2.59%,3948,2.95%,38630,2.88%
Free Parking,40,2.99%,377,2.83%,3497,2.61%,35471,2.64%
Kentucky Avenue,40,2.99%,319,2.39%,3376,2.52%,34609,2.58%
Chance,42,3.14%,341,2.56%,3487,2.61%,35272,2.63%
Indiana Avenue,26,1.95%,365,2.74%,3588,2.68%,35725,2.66%
Illinois Avenue,37,2.77%,375,2.82%,4187,3.13%,40567,3.02%
B. & O. Railroad,41,3.07%,390,2.93%,3920,2.93%,38591,2.88%
Atlantic Avenue,33,2.47%,341,2.56%,3258,2.43%,33260,2.48%
Ventnor Avenue,37,2.77%,341,2.56%,3178,2.37%,32269,2.41%
Water Works,36,2.69%,331,2.48%,3353,2.50%,34106,2.54%
Marvin Gardens,23,1.72%,316,2.37%,3219,2.40%,32818,2.45%
Go To Jail,40,2.99%,306,2.30%,3374,2.52%,33382,2.49%
Pacific Avenue,36,2.69%,357,2.68%,3468,2.59%,33970,2.53%
North Carolina Avenue,24,1.80%,320,2.40%,3214,2.40%,33077,2.47%
Community Chest,32,2.40%,352,2.64%,3382,2.53%,33157,2.47%
Pennsylvania Avenue,28,2.10%,286,2.15%,2948,2.20%,29600,2.21%
Short Line,36,2.69%,275,2.06%,2803,2.09%,27855,2.08%
Chance,24,1.80%,276,2.07%,2539,1.90%,26220,1.95%
Park Place,20,1.50%,265,1.99%,2666,1.99%,26897,2.01%
Luxury Tax,35,2.62%,256,1.92%,2699,2.02%,26611,1.98%
Boardwalk,30,2.25%,300,2.25%,3180,2.38%,31603,2.36%
