,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,28,2.23%,289,2.30%,2909,2.33%,29437,2.35%
Mediterranean Avenue,29,2.31%,259,2.06%,2392,1.91%,24242,1.94%
Community Chest,21,1.67%,241,1.92%,2316,1.85%,23483,1.88%
Baltic Avenue,34,2.71%,235,1.87%,2473,1.98%,24297,1.94%
Income Tax,24,1.91%,259,2.06%,2616,2.09%,26782,2.14%
Reading Railroad,27,2.15%,362,2.89%,3398,2.72%,34051,2.72%
Oriental Avenue,17,1.35%,257,2.05%,2625,2.10%,26047,2.08%
Chance,30,2.39%,273,2.18%,2634,2.11%,25971,2.07%
Vermont Avenue,37,2.95%,249,1.98%,2553,2.04%,26197,2.09%
Connecticut Avenue,26,2.07%,259,2.06%,2518,2.01%,25739,2.06%
Jail,76,6.05%,740,5.90%,7435,5.94%,73882,5.90%
St. Charles Place,32,2.55%,313,2.49%,3016,2.41%,30239,2.41%
Electric Company,31,2.47%,338,2.69%,3171,2.53%,31335,2.50%
States Avenue,23,1.83%,249,1.98%,2621,2.10%,26337,2.10%
Virginia Avenue,22,1.75%,305,2.43%,3255,2.60%,31200,2.49%
Pennsylvania Railroad,29,2.31%,320,2.55%,3338,2.67%,34339,2.74%
St. James Place,48,3.82%,366,2.92%,3605,2.88%,35576,2.84%
Community Chest,43,3.42%,329,2.62%,3201,2.56%,33149,2.65%
Tennessee Avenue,30,2.39%,346,2.76%,3663,2.93%,36271,2.90%
New York Avenue,20,1.59%,384,3.06%,3441,2.75%,34622,2.76%
Free Parking,30,2.39%,369,2.94%,3562,2.85%,35055,2.80%
Kentucky Avenue,39,3.11%,274,2.18%,3202,2.56%,31860,2.54%
Chance,34,2.71%,279,2.22%,3287,2.63%,32773,2.62%
Indiana Avenue,31,2.47%,355,2.83%,3280,2.62%,33178,2.65%
Illinois Avenue,28,2.23%,396,3.16%,3833,3.06%,37809,3.02%
B. & O. Railroad,47,3.74%,348,2.77%,3640,2.91%,35905,2.87%
Atlantic Avenue,30,2.39%,338,2.69%,3093,2.47%,31206,2.49%
Ventnor Avenue,48,3.82%,299,2.38%,2979,2.38%,30505,2.44%
Water Works,30,2.39%,297,2.37%,3181,2.54%,31838,2.54%
Marvin Gardens,24,1.91%,336,2.68%,3033,2.42%,30832,2.46%
Go To Jail,26,2.07%,304,2.42%,3255,2.60%,31408,2.51%
Pacific Avenue,31,2.47%,296,2.36%,3086,2.47%,31740,2.53%
North Carolina Avenue,24,1.91%,308,2.45%,3052,2.44%,30382,2.43%
Community Chest,44,3.50%,312,2.49%,3153,2.52%,31124,2.49%
Pennsylvania Avenue,23,1.83%,293,2.34%,2716,2.17%,27944,2.23%
Short Line,32,2.55%,258,2.06%,2585,2.07%,25987,2.08%
Chance,30,2.39%,247,1.97%,2430,1.94%,24458,1.95%
Park Place,27,2.15%,256,2.04%,2503,2.00%,25133,2.01%
Luxury Tax,16,1.27%,241,1.92%,2474,1.98%,24833,1.98%
Boardwalk,28,2.23%,313,2.49%,3030,2.42%,29649,2.37%
